registrant_name,registrant_organization,domains
private domain registrations,global domains international inc.,11156
whois protection,whois protection,10932
private registrations aktien gesellschaft,private registrations aktien gesellschaft,10916
domain privacy,domain privacy,10322
domain registration,whois privacy,10172
,information privacy protection services limited,10141
domain privacy,"domain privacy, llc",10108
privacy protection service - r01.whoisproxy.ru.,privacy protection service - r01.whoisproxy.ru.,10104
privacydotlink customer 1289290,,9701
for the finest artists faso private domains,,9665
whoisprotected,whois protected,9596
hostmaster,your whois privacy ltd,9088
private|registration|whoisguardservice.com,,9003
whois privacy protection service by domainking,whois privacy protection service by domainking,8941
"privacy protection, report abuse to",,8897
moniker privacy services|moniker privacy services,,8512
whoisguard protected,whoisguard,8511
hostmaster,your whois privacy ltd,8490
domain privacy group,,8435
domainprivacyprotect.info,domain robot ltd.,8397
whois privacy shield services,whois privacy shield services,8347
private whois,knock knock whois not there llc,8258
privacy hero inc.,privacy hero inc.,7838
domain whois protect service,c/o email contact at domainwhoisprotect.in to contact the domain,7669
private data domains ltd,private data domains ltd,7666
whois privacy protection service by z.com vn,whois privacy protection service by z.com vn,7635
whois privacy protection foundation,whois privacy protection foundation,7625
proxy protection llc,proxy protection llc,7548
identity secured,identity-secured.com,7351
privacydotlink customer 1291214,,7231
domain administrator c/o dynadot privacy,,7169
p ong,domainname proxy on behalf of pym,7166
domain admin,privatewhois biz,7023
c/o safestwhois(tm),premium registration service,6876
domain hostmaster,whois privacy services pty ltd,6852
protection privacy,,6653
private registrant,domainsecrecy.net,6485
private registration,anonymouse domains s.r.o.,6469
whois privacy protection service by gmo cloud,whois privacy protection service by gmo cloud,6440
whois privacy protection service,"allied standard limited, ltd.",6421
protection privacy,organization,6398
domainsecrecy.com ...,,6333
privacy services moniker,"moniker online services, llc.",6264
privacy protect,my domain provider,6010
whois privacy service,,5992
privacyprotection,privacyprotection,5848
domain administrator,whoisprivacy limited,5793
songbin c/o dynadot privacy,,5685
agent whois,domain whois protection service,5517
whois manager,whois privacy management service,5398
protect whois,"fc2,inc",5328
domain administrator c/o dynadot,,5271
dynamo.com c/o privacy protection and autorenewal,dynamo.com,5159
whois protection service by pangalan.com,pangalan.com,5153
your whois privacy ltd|safenames ltd|international domain tech,your whois privacy ltd safenames ltd,5092
registration private,,5006
domain admin,proxy domains,4944
whois privacy,"private by design, llc",4917
whoisguard protected,whoisguard,4583
whois protection,whois privacy protec,4536
whois privacy services by domainca,whois privacy services by domainca,4483
domain sales - www.comdots.com c/o dynadot privacy,,4468
llc perfect privacy,,4457
domain admin,domain whois protection service,4455
whois agent,sos,4451
private registration,account privacy,4449
dotname domain privacy,dotname korea corp.,4448
whois guard,protected,4219
whois agent,web domains by proxy,4186
domain whois protection service,ourdomains limited,4150
whois privacy protection service by value-domain,personal,3899
"domainname privacy protection technology co.,ltd. admin","domainname privacy protection technology co.,ltd. admin",3869
admin admin,private registrations aktien gesellschaft,3862
domain private registration,"westcom, s.r.o. (domain-private-registration.com)",3836
privacy protection service,ukrnames,3824
contact privacy,contactprivacy.me,3814
whois privacy,"whoisprivacy limitedregistrant street: 3/f, jonsim place, 228 queen's road east, -",3811
randy ramon,online secrets,3810
domain manager,whois privacy management service,3732
privacy locked,privacy locked llc.,3730
private registrant,,3673
whois agent,privacy,3665
domain administration|moniker  privacy services,,3651
administration dom,whoisprivacy limited,3616
for sale,private registration,3612
freedom whois privacy services,ec corporate client services,3518
oneandone private registration,"1&1 internet, inc. - http://1and1.com/contact",3441
privacydotlink customer 1289344,,3395
privacydotlink customer 1291217,,3389
domain administrator,"whoisprivacy limitedregistrant street: 3/f, jonsim place, 228 queen's road east, wanchai, hong kong",3352
domain admin c/o dynadot privacy,,3301
p ong,domainname proxy on behalf of pym.com,3273
wangyujia,information privacy protection services limited,3245
organization,whoisproxy.com ltd,3244
private registration|netdorm private registration,,3215
anonymous domain registration service,,3207
web domains by proxy|whois agent,,3157
"domain-private-registration.com westcom, s.r.o.","westcom, s.r.o. (domain-private-registration.com)",3143
private protection co.ltd,private protection co.ltd.,3111
privacydotlink customer 1261594,,3104
privacy,myprivacy.net,3102
whois privacy protection service by value-domain,sales support,3047
scott hunter,salem communications corporation,3046
domain manager,private registration,3042
"private registration services, inc","private registration services, inc",3032
private registration c/o dynadot privacy,,2971
whois agent,private domain whois services,2937
domainsbyproxy.com private registration,"domains by proxy, inc.",2930
koreacenter.com (privacy_whois),koreacenter.com (privacy_whois),2918
whois protection service,namebay (whois privacy policy),2908
hostmaster,your whois privacy,2905
whois privacy protection service by value-domain,personal,2898
privacy protection,shield whois,2897
whois privacy services provided by domainprotect llc,"whois privacy services, provided by domainprotect llc",2892
"datahotel co., ltd.|datahotel whois protect service",,2892
private proxy registration,private proxy registration,2891
domain name protection,domain name protection,2865
p ong,domainname proxy on behalf of pym,2846
domain privacy ltd|dns admin,,2806
privacy protected by registry,,2791
privacydotlink customer 1261572,,2780
domain admin,privacy protection service inc d/b/a privacyprotect,2747
profile group,private registration us,2732
private registration,private registration,2695
freedom whois privacy services|ec corporate client services,,2675
domain proxy,domain proxy,2643
domain privacy protection,,2601
private registrations aktien gesellschaft,,2601
privacydotlink customer 1261575,,2593
whois protected,no whois available,2592
privacydotlink customer 1289514,,2588
whoisprotectservice.net,,2544
private registration,netdorm private registration,2531
